"Participant","LQ_dominance_1","LQ_dominance_2","LQ_dominance_3","LQ_dominance_4","LQ_dominance_5","LQ_acquisition_1","LQ_acquisition_2","LQ_acquisition_3","LQ_acquisition_4","LQ_acquisition_5","LQ_exp_lang_1","LQ_exp_lang_2","LQ_exp_lang_3","LQ_exp_lang_4","LQ_exp_lang_5","LQ_read_lang_1","LQ_read_lang_2","LQ_read_lang_3","LQ_read_lang_4","LQ_read_lang_5","LQ_speak_lang_1","LQ_speak_lang_2","LQ_speak_lang_3","LQ_speak_lang_4","LQ_speak_lang_5","LQ_culture_1","LQ_culture_2","LQ_culture_3","LQ_culture_4","LQ_culture_5","LQ_edu_other_text","LQ_current_residence_country","LQ_immigration_country_1","LQ_immigration_country_2","LQ_immigration_country_3","LQ_disability_explanation","LQ_disability_options","LQ_education_level"
213,"italian","spanish","english","","","italian","english","spanish","","","italiano","spanish","english","","","italian","english","spanish","","","italian","english","spanish","","","italiana","europea","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
168,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
190,"italian","english","","","","italian","engish","","","","italian","english","-","-","-","english","italian","-","-","-","italian","english","","","","italian","","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
74,"italian","english","spanish","francaise","","italian","english","spanish","francaise","","italian","english","spanish","francaise","","italian","english","spanish","francaise","","italian","english","spanish","francaise","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
22,"italian","english","french","-","-","italian","english","french","-","-","italian","english","french","-","-","italian","english","french","-","-","italian","english","french","","","italian","US-American","","","","","Italy","NA","NA","NA","NA","unchecked, unchecked, unchecked, unchecked, checked","Some Graduate School"
272,"Italian","English","French","German","","Italian","French","English","German","","Italian","English","French","German","","Italian","English","French ","German","","Italian","English","French","German","","Italian","Anglo-Saxon","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some Graduate School"
49,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","I have glasses for astigmatism","checked, unchecked, unchecked, unchecked, unchecked","Some College"
106,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","Vietnam","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
125,"Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian ","English","French","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
185,"Italian","English","Spanish","French","German","Italian","English","French","German","Spanish","Italian","English","French","German","Spanish","Italian","English","Spanish","French","German","Italian","English","Spanish","French","German","Caucasian","European","","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","Masters"
71,"Italiano","Inglese","Francese","","","Italiano","Inglese","Francese","","","Italiano","Inglese","Francese ","","","Italiano","Inglese ","Francese","","","Italiani","Ingles","Francese","","","Italiana","Francese","Statunitense ","Giapponese","","","Italia","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
136,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","British","Italian","US-American","Spanish","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
3,"Italiano ","Inglese ","","","","Italiano","Inglese ","","","","Italiano","Inglese","","","","Italiano ","Inglese","","","","Italiano","Inglese","","","","Italiano","","","","","","Italia","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
113,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","European","Italian","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
245,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","European","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
178,"italian","english","french","German","","italian","english","french","german","","italian","english","french","german","","italian","english","french","german","","italian","english","french","german","","european","italian","sicilian","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
238,"Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","English","Italian","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Bachelor degree  honours UK","Italy","United Kingdom","","","","unchecked, unchecked, unchecked, unchecked, checked","Other"
205,"Italian","English","Spanish","French","","Italian","French","Spanish","French","","Italian","English","Spanish","French","","Italian","French","Spanish","French","","Italian","French","Spanish","French","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
43,"Italian","English","","","","Italian","English","","","","Italian","English","0","0","0","Italian","English","","","","Italian","English","","","","Italian","European","Chatolic","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
