"","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"1",213,"sleale","6","2","Italian","L2"
"2",213,"elegante","5","5","Italian","L2"
"3",213,"meschina","7","1","Italian","L2"
"4",213,"crudele","8","1","Italian","L2"
"5",213,"santo","3","6","Italian","L2"
"6",213,"leale","1","9","Italian","L2"
"7",213,"positivo","2","7","Italian","L2"
"8",213,"pigra","7","4","Italian","L2"
"9",213,"negativo","6","2","Italian","L2"
"10",213,"stronzo","8","3","Italian","L2"
"11",213,"cauta","2","6","Italian","L2"
"12",213,"inaffidabile","9","1","Italian","L2"
"13",213,"indiscreta","6","3","Italian","L2"
"14",213,"saggia","2","8","Italian","L2"
"15",213,"bugiarda","8","1","Italian","L2"
"16",213,"scortese","9","1","Italian","L2"
"17",213,"scrupolosa","3","7","Italian","L2"
"18",213,"tesoro","1","9","Italian","L2"
"19",213,"cattivo","9","1","Italian","L2"
"20",213,"osceno","7","1","Italian","L2"
"21",213,"paziente","1","9","Italian","L2"
"22",213,"riservata","2","8","Italian","L2"
"23",213,"gentile","1","9","Italian","L2"
"24",213,"affidabile","1","9","Italian","L2"
"25",213,"demone","7","1","Italian","L2"
"26",213,"buono","1","9","Italian","L2"
"27",168,"cauta","2","4","Italian","L2"
"28",168,"negativo","6","2","Italian","L2"
"29",168,"cattivo","6","3","Italian","L2"
"30",168,"saggia","5","5","Italian","L2"
"31",168,"elegante","5","5","Italian","L2"
"32",168,"osceno","6","3","Italian","L2"
"33",168,"meschina","6","3","Italian","L2"
"34",168,"positivo","5","6","Italian","L2"
"35",168,"demone","6","3","Italian","L2"
"36",168,"sleale","7","3","Italian","L2"
"37",168,"paziente","3","5","Italian","L2"
"38",168,"leale","4","7","Italian","L2"
"39",168,"riservata","5","5","Italian","L2"
"40",168,"scrupolosa","5","5","Italian","L2"
"41",168,"bugiarda","7","3","Italian","L2"
"42",168,"indiscreta","5","5","Italian","L2"
"43",168,"pigra","3","5","Italian","L2"
"44",168,"scortese","7","3","Italian","L2"
"45",168,"santo","4","5","Italian","L2"
"46",168,"gentile","5","6","Italian","L2"
"47",168,"stronzo","8","2","Italian","L2"
"48",168,"crudele","6","2","Italian","L2"
"49",168,"buono","3","6","Italian","L2"
"50",168,"affidabile","4","6","Italian","L2"
"51",168,"inaffidabile","6","3","Italian","L2"
"52",168,"tesoro","7","6","Italian","L2"
"53",190,"indiscreta","6","2","Italian","L2"
"54",190,"buono","2","9","Italian","L2"
"55",190,"sleale","4","1","Italian","L2"
"56",190,"scrupolosa","3","3","Italian","L2"
"57",190,"paziente","1","3","Italian","L2"
"58",190,"leale","8","7","Italian","L2"
"59",190,"cauta","1","6","Italian","L2"
"60",190,"stronzo","6","1","Italian","L2"
"61",190,"cattivo","7","1","Italian","L2"
"62",190,"riservata","2","5","Italian","L2"
"63",190,"inaffidabile","6","3","Italian","L2"
"64",190,"pigra","1","4","Italian","L2"
"65",190,"tesoro","1","8","Italian","L2"
"66",190,"saggia","2","7","Italian","L2"
"67",190,"crudele","7","1","Italian","L2"
"68",190,"meschina","6","1","Italian","L2"
"69",190,"gentile","1","9","Italian","L2"
"70",190,"elegante","6","6","Italian","L2"
"71",190,"osceno","6","1","Italian","L2"
"72",190,"negativo","6","1","Italian","L2"
"73",190,"bugiarda","8","1","Italian","L2"
"74",190,"positivo","8","7","Italian","L2"
"75",190,"scortese","5","1","Italian","L2"
"76",190,"affidabile","3","6","Italian","L2"
"77",190,"santo","1","8","Italian","L2"
"78",190,"demone","7","2","Italian","L2"
"79",74,"indiscreta","4","4","Italian","L2"
"80",74,"elegante","9","9","Italian","L2"
"81",74,"stronzo","5","3","Italian","L2"
