"","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"1",35,"expletive_test","26","8","test","neg","pej","AO","A","IPN8","Italian","L2"
"2",35,"expletive_test","25","6","filler","neg","adj","TO","A","INF6","Italian","L2"
"3",35,"expletive_test","69","16","filler","pos","adj","TO","A","INF16","Italian","L2"
"4",35,"expletive_test","34","17","filler","pos","adj","TO","A","INF17","Italian","L2"
"5",35,"expletive_test","68","7","test","pos","pej","TO","A","IPP7","Italian","L2"
"6",35,"expletive_test","30","6","test","pos","adj","NEU","A","IAP6","Italian","L2"
"7",35,"expletive_test","56","9","filler","neg","adj","AO","A","INF9","Italian","L2"
"8",35,"expletive_test","58","13","filler","pos","adj","TO","A","INF13","Italian","L2"
"9",35,"expletive_test","49","18","filler","pos","adj","TO","A","INF18","Italian","L2"
"10",35,"expletive_test","74","4","filler","neg","adj","TO","A","INF4","Italian","L2"
"11",35,"expletive_test","48","12","filler","neg","adj","AO","A","INF12","Italian","L2"
"12",35,"expletive_test","65","1","test","pos","pej","TO","A","IPP1","Italian","L2"
"13",35,"expletive_test","56","1","test","neg","adj","TO","A","IAN1","Italian","L2"
"14",35,"expletive_test","45","21","filler","pos","adj","AO","A","INF21","Italian","L2"
"15",35,"expletive_test","43","5","test","pos","adj","AO","A","IAP5","Italian","L2"
"16",35,"expletive_test","58","2","test","pos","pej","AO","A","IPP2","Italian","L2"
"17",35,"expletive_test","56","10","filler","neg","adj","AO","A","INF10","Italian","L2"
"18",35,"expletive_test","51","8","test","neg","adj","AO","A","IAN8","Italian","L2"
"19",35,"expletive_test","71","4","test","pos","pej","TO","A","IPP4","Italian","L2"
"20",35,"expletive_test","28","24","filler","pos","adj","AO","A","INF24","Italian","L2"
"21",35,"expletive_test","78","7","test","neg","pej","TO","A","IPN7","Italian","L2"
"22",35,"expletive_test","61","15","filler","pos","adj","TO","A","INF15","Italian","L2"
"23",35,"expletive_test","36","9","test","neg","adj","NEU","A","IAN9","Italian","L2"
"24",35,"expletive_test","80","3","filler","neg","adj","TO","A","INF3","Italian","L2"
"25",35,"expletive_test","53","7","test","neg","adj","TO","A","IAN7","Italian","L2"
"26",35,"expletive_test","47","5","test","neg","pej","AO","A","IPN5","Italian","L2"
"27",35,"expletive_test","66","9","test","pos","adj","NEU","A","IAP9","Italian","L2"
"28",35,"expletive_test","34","3","test","pos","pej","NEU","A","IPP3","Italian","L2"
"29",35,"expletive_test","34","8","test","pos","adj","AO","A","IAP8","Italian","L2"
"30",35,"expletive_test","87","4","test","neg","pej","TO","A","IPN4","Italian","L2"
"31",35,"expletive_test","69","6","test","pos","pej","NEU","A","IPP6","Italian","L2"
"32",35,"expletive_test","28","7","filler","neg","adj","AO","A","INF7","Italian","L2"
"33",35,"expletive_test","30","4","test","pos","adj","TO","A","IAP4","Italian","L2"
"34",35,"expletive_test","79","2","filler","neg","adj","TO","A","INF2","Italian","L2"
"35",35,"expletive_test","54","2","test","neg","pej","AO","A","IPN2","Italian","L2"
"36",35,"expletive_test","57","2","test","pos","adj","AO","A","IAP2","Italian","L2"
"37",35,"expletive_test","61","1","filler","neg","adj","TO","A","ITN1","Italian","L2"
"38",35,"expletive_test","61","7","test","pos","adj","TO","A","IAP7","Italian","L2"
"39",35,"expletive_test","58","20","filler","pos","adj","AO","A","INF20","Italian","L2"
"40",35,"expletive_test","60","3","test","neg","pej","NEU","A","IPN3","Italian","L2"
"41",35,"expletive_test","38","22","filler","pos","adj","AO","A","INF22","Italian","L2"
"42",35,"expletive_test","66","5","test","pos","pej","AO","A","IPP5","Italian","L2"
"43",35,"expletive_test","58","9","test","neg","pej","NEU","A","IPN9","Italian","L2"
"44",35,"expletive_test","32","23","filler","pos","adj","AO","A","INF23","Italian","L2"
"45",35,"expletive_test","56","11","filler","neg","adj","AO","A","INF11","Italian","L2"
"46",35,"expletive_test","67","6","test","neg","adj","NEU","A","IAN6","Italian","L2"
"47",35,"expletive_test","64","3","test","neg","adj","NEU","A","IAN3","Italian","L2"
"48",35,"expletive_test","63","14","filler","pos","adj","TO","A","INF14","Italian","L2"
"49",35,"expletive_test","57","19","filler","pos","adj","AO","A","INF19","Italian","L2"
"50",35,"expletive_test","36","8","filler","neg","adj","AO","A","INF8","Italian","L2"
"51",35,"expletive_test","29","6","test","neg","pej","NEU","A","IPN6","Italian","L2"
"52",35,"expletive_test","72","1","test","neg","pej","TO","A","IPN1","Italian","L2"
"53",35,"expletive_test","63","4","test","neg","adj","TO","A","IAN4","Italian","L2"
"54",35,"expletive_test","39","2","test","neg","adj","AO","A","IAN2","Italian","L2"
"55",35,"expletive_test","70","8","test","pos","pej","AO","A","IPP8","Italian","L2"
"56",35,"expletive_test","61","9","test","pos","pej","NEU","A","IPP9","Italian","L2"
"57",35,"expletive_test","56","5","test","neg","adj","AO","A","IAN5","Italian","L2"
"58",35,"expletive_test","62","5","filler","neg","adj","TO","A","INF5","Italian","L2"
"59",35,"expletive_test","81","1","test","pos","adj","TO","A","IAP1","Italian","L2"
"60",35,"expletive_test","55","3","test","pos","adj","NEU","A","IAP3","Italian","L2"
"61",164,"expletive_test","78","4","test","neg","pej","TO","C","IPN4","Italian","L2"
"62",164,"expletive_test","81","1","test","neg","pej","TO","C","IPN1","Italian","L2"
"63",164,"expletive_test","83","1","test","pos","pej","TO","C","IPP1","Italian","L2"
"64",164,"expletive_test","58","4","filler","neg","adj","TO","C","INF4","Italian","L2"
"65",164,"expletive_test","85","16","filler","pos","adj","TO","C","INF16","Italian","L2"
"66",164,"expletive_test","71","18","filler","pos","adj","TO","C","INF18","Italian","L2"
"67",164,"expletive_test","74","1","test","neg","adj","TO","C","IAN1","Italian","L2"
"68",164,"expletive_test","74","2","test","pos","pej","AO","C","IPP2","Italian","L2"
"69",164,"expletive_test","86","7","test","pos","pej","TO","C","IPP7","Italian","L2"
"70",164,"expletive_test","85","1","test","pos","adj","TO","C","IAP1","Italian","L2"
"71",164,"expletive_test","80","17","filler","pos","adj","TO","C","INF17","Italian","L2"
"72",164,"expletive_test","17","6","test","neg","adj","NEU","C","IAN6","Italian","L2"
"73",164,"expletive_test","33","24","filler","pos","adj","AO","C","INF24","Italian","L2"
"74",164,"expletive_test","70","4","test","pos","adj","TO","C","IAP4","Italian","L2"
"75",164,"expletive_test","58","4","test","neg","adj","TO","C","IAN4","Italian","L2"
"76",164,"expletive_test","33","5","test","neg","adj","AO","C","IAN5","Italian","L2"
"77",164,"expletive_test","72","8","test","pos","pej","AO","C","IPP8","Italian","L2"
"78",164,"expletive_test","64","10","filler","neg","adj","AO","C","INF10","Italian","L2"
"79",164,"expletive_test","85","1","filler","neg","adj","TO","C","ITN1","Italian","L2"
"80",164,"expletive_test","71","9","test","pos","adj","NEU","C","IAP9","Italian","L2"
"81",164,"expletive_test","24","6","test","pos","adj","NEU","C","IAP6","Italian","L2"
"82",164,"expletive_test","32","9","test","neg","pej","NEU","C","IPN9","Italian","L2"
"83",164,"expletive_test","65","2","test","neg","pej","AO","C","IPN2","Italian","L2"
"84",164,"expletive_test","88","8","filler","neg","adj","AO","C","INF8","Italian","L2"
"85",164,"expletive_test","34","7","filler","neg","adj","AO","C","INF7","Italian","L2"
"86",164,"expletive_test","66","19","filler","pos","adj","AO","C","INF19","Italian","L2"
"87",164,"expletive_test","93","5","filler","neg","adj","TO","C","INF5","Italian","L2"
"88",164,"expletive_test","89","2","test","pos","adj","AO","C","IAP2","Italian","L2"
"89",164,"expletive_test","30","9","filler","neg","adj","AO","C","INF9","Italian","L2"
"90",164,"expletive_test","65","14","filler","pos","adj","TO","C","INF14","Italian","L2"
"91",164,"expletive_test","41","23","filler","pos","adj","AO","C","INF23","Italian","L2"
"92",164,"expletive_test","75","21","filler","pos","adj","AO","C","INF21","Italian","L2"
"93",164,"expletive_test","65","3","filler","neg","adj","TO","C","INF3","Italian","L2"
"94",164,"expletive_test","22","8","test","neg","pej","AO","C","IPN8","Italian","L2"
"95",164,"expletive_test","73","6","test","pos","pej","NEU","C","IPP6","Italian","L2"
"96",164,"expletive_test","73","3","test","pos","adj","NEU","C","IAP3","Italian","L2"
"97",164,"expletive_test","13","9","test","neg","adj","NEU","C","IAN9","Italian","L2"
"98",164,"expletive_test","28","11","filler","neg","adj","AO","C","INF11","Italian","L2"
"99",164,"expletive_test","72","4","test","pos","pej","TO","C","IPP4","Italian","L2"
"100",164,"expletive_test","74","7","test","neg","adj","TO","C","IAN7","Italian","L2"
"101",164,"expletive_test","48","9","test","pos","pej","NEU","C","IPP9","Italian","L2"
"102",164,"expletive_test","38","8","test","pos","adj","AO","C","IAP8","Italian","L2"
"103",164,"expletive_test","24","22","filler","pos","adj","AO","C","INF22","Italian","L2"
"104",164,"expletive_test","81","15","filler","pos","adj","TO","C","INF15","Italian","L2"
"105",164,"expletive_test","88","7","test","neg","pej","TO","C","IPN7","Italian","L2"
"106",164,"expletive_test","90","5","test","pos","pej","AO","C","IPP5","Italian","L2"
"107",164,"expletive_test","76","8","test","neg","adj","AO","C","IAN8","Italian","L2"
"108",164,"expletive_test","94","20","filler","pos","adj","AO","C","INF20","Italian","L2"
"109",164,"expletive_test","60","3","test","neg","adj","NEU","C","IAN3","Italian","L2"
"110",164,"expletive_test","12","6","test","neg","pej","NEU","C","IPN6","Italian","L2"
"111",164,"expletive_test","12","12","filler","neg","adj","AO","C","INF12","Italian","L2"
"112",164,"expletive_test","59","3","test","pos","pej","NEU","C","IPP3","Italian","L2"
"113",164,"expletive_test","4","5","test","neg","pej","AO","C","IPN5","Italian","L2"
"114",164,"expletive_test","64","7","test","pos","adj","TO","C","IAP7","Italian","L2"
"115",164,"expletive_test","39","5","test","pos","adj","AO","C","IAP5","Italian","L2"
"116",164,"expletive_test","16","2","test","neg","adj","AO","C","IAN2","Italian","L2"
"117",164,"expletive_test","93","13","filler","pos","adj","TO","C","INF13","Italian","L2"
"118",164,"expletive_test","78","6","filler","neg","adj","TO","C","INF6","Italian","L2"
"119",164,"expletive_test","26","2","filler","neg","adj","TO","C","INF2","Italian","L2"
"120",164,"expletive_test","13","3","test","neg","pej","NEU","C","IPN3","Italian","L2"
"121",109,"expletive_test","0","23","filler","pos","adj","AO","A","INF23","Italian","L2"
"122",109,"expletive_test","0","22","filler","pos","adj","AO","A","INF22","Italian","L2"
"123",109,"expletive_test","99","2","test","pos","adj","AO","A","IAP2","Italian","L2"
"124",109,"expletive_test","99","9","filler","neg","adj","AO","A","INF9","Italian","L2"
"125",109,"expletive_test","99","2","test","neg","pej","AO","A","IPN2","Italian","L2"
"126",109,"expletive_test","0","6","filler","neg","adj","TO","A","INF6","Italian","L2"
"127",109,"expletive_test","99","7","test","neg","adj","TO","A","IAN7","Italian","L2"
"128",109,"expletive_test","0","9","test","neg","adj","NEU","A","IAN9","Italian","L2"
"129",109,"expletive_test","0","6","test","neg","pej","NEU","A","IPN6","Italian","L2"
"130",109,"expletive_test","99","2","test","pos","pej","AO","A","IPP2","Italian","L2"
"131",109,"expletive_test","0","8","test","pos","adj","AO","A","IAP8","Italian","L2"
"132",109,"expletive_test","99","5","test","pos","adj","AO","A","IAP5","Italian","L2"
"133",109,"expletive_test","99","5","filler","neg","adj","TO","A","INF5","Italian","L2"
"134",109,"expletive_test","99","19","filler","pos","adj","AO","A","INF19","Italian","L2"
"135",109,"expletive_test","99","1","test","neg","pej","TO","A","IPN1","Italian","L2"
"136",109,"expletive_test","99","2","filler","neg","adj","TO","A","INF2","Italian","L2"
"137",109,"expletive_test","99","16","filler","pos","adj","TO","A","INF16","Italian","L2"
"138",109,"expletive_test","99","10","filler","neg","adj","AO","A","INF10","Italian","L2"
"139",109,"expletive_test","99","8","test","neg","adj","AO","A","IAN8","Italian","L2"
"140",109,"expletive_test","99","4","test","pos","pej","TO","A","IPP4","Italian","L2"
"141",109,"expletive_test","99","17","filler","pos","adj","TO","A","INF17","Italian","L2"
"142",109,"expletive_test","99","5","test","neg","adj","AO","A","IAN5","Italian","L2"
"143",109,"expletive_test","99","4","test","neg","pej","TO","A","IPN4","Italian","L2"
"144",109,"expletive_test","99","1","test","neg","adj","TO","A","IAN1","Italian","L2"
"145",109,"expletive_test","99","1","test","pos","adj","TO","A","IAP1","Italian","L2"
"146",109,"expletive_test","99","5","test","neg","pej","AO","A","IPN5","Italian","L2"
"147",109,"expletive_test","0","3","test","pos","adj","NEU","A","IAP3","Italian","L2"
"148",109,"expletive_test","99","1","filler","neg","adj","TO","A","ITN1","Italian","L2"
"149",109,"expletive_test","99","2","test","neg","adj","AO","A","IAN2","Italian","L2"
"150",109,"expletive_test","99","7","test","neg","pej","TO","A","IPN7","Italian","L2"
"151",109,"expletive_test","99","12","filler","neg","adj","AO","A","INF12","Italian","L2"
"152",109,"expletive_test","99","7","test","pos","adj","TO","A","IAP7","Italian","L2"
"153",109,"expletive_test","0","6","test","pos","adj","NEU","A","IAP6","Italian","L2"
"154",109,"expletive_test","99","5","test","pos","pej","AO","A","IPP5","Italian","L2"
"155",109,"expletive_test","99","3","filler","neg","adj","TO","A","INF3","Italian","L2"
"156",109,"expletive_test","0","3","test","neg","adj","NEU","A","IAN3","Italian","L2"
"157",109,"expletive_test","99","24","filler","pos","adj","AO","A","INF24","Italian","L2"
"158",109,"expletive_test","99","21","filler","pos","adj","AO","A","INF21","Italian","L2"
"159",109,"expletive_test","0","3","test","pos","pej","NEU","A","IPP3","Italian","L2"
"160",109,"expletive_test","99","13","filler","pos","adj","TO","A","INF13","Italian","L2"
"161",109,"expletive_test","99","7","filler","neg","adj","AO","A","INF7","Italian","L2"
"162",109,"expletive_test","99","8","test","pos","pej","AO","A","IPP8","Italian","L2"
"163",109,"expletive_test","99","15","filler","pos","adj","TO","A","INF15","Italian","L2"
"164",109,"expletive_test","99","14","filler","pos","adj","TO","A","INF14","Italian","L2"
"165",109,"expletive_test","0","9","test","neg","pej","NEU","A","IPN9","Italian","L2"
"166",109,"expletive_test","0","6","test","neg","adj","NEU","A","IAN6","Italian","L2"
"167",109,"expletive_test","0","9","test","pos","adj","NEU","A","IAP9","Italian","L2"
"168",109,"expletive_test","0","6","test","pos","pej","NEU","A","IPP6","Italian","L2"
"169",109,"expletive_test","0","3","test","neg","pej","NEU","A","IPN3","Italian","L2"
"170",109,"expletive_test","99","4","test","neg","adj","TO","A","IAN4","Italian","L2"
"171",109,"expletive_test","99","11","filler","neg","adj","AO","A","INF11","Italian","L2"
"172",109,"expletive_test","99","18","filler","pos","adj","TO","A","INF18","Italian","L2"
"173",109,"expletive_test","0","9","test","pos","pej","NEU","A","IPP9","Italian","L2"
"174",109,"expletive_test","99","4","test","pos","adj","TO","A","IAP4","Italian","L2"
"175",109,"expletive_test","99","20","filler","pos","adj","AO","A","INF20","Italian","L2"
"176",109,"expletive_test","99","7","test","pos","pej","TO","A","IPP7","Italian","L2"
"177",109,"expletive_test","99","4","filler","neg","adj","TO","A","INF4","Italian","L2"
"178",109,"expletive_test","99","8","filler","neg","adj","AO","A","INF8","Italian","L2"
"179",109,"expletive_test","99","8","test","neg","pej","AO","A","IPN8","Italian","L2"
"180",109,"expletive_test","99","1","test","pos","pej","TO","A","IPP1","Italian","L2"
"181",73,"expletive_test","64","8","filler","neg","adj","AO","C","INF8","Italian","L2"
"182",73,"expletive_test","66","9","test","neg","pej","NEU","C","IPN9","Italian","L2"
"183",73,"expletive_test","23","5","test","neg","pej","AO","C","IPN5","Italian","L2"
"184",73,"expletive_test","28","13","filler","pos","adj","TO","C","INF13","Italian","L2"
"185",73,"expletive_test","61","9","test","neg","adj","NEU","C","IAN9","Italian","L2"
"186",73,"expletive_test","66","6","test","neg","adj","NEU","C","IAN6","Italian","L2"
"187",73,"expletive_test","33","6","test","neg","pej","NEU","C","IPN6","Italian","L2"
"188",73,"expletive_test","36","2","test","neg","adj","AO","C","IAN2","Italian","L2"
"189",73,"expletive_test","33","8","test","neg","adj","AO","C","IAN8","Italian","L2"
"190",73,"expletive_test","28","1","test","pos","pej","TO","C","IPP1","Italian","L2"
"191",73,"expletive_test","74","11","filler","neg","adj","AO","C","INF11","Italian","L2"
"192",73,"expletive_test","35","2","filler","neg","adj","TO","C","INF2","Italian","L2"
"193",73,"expletive_test","76","3","test","neg","pej","NEU","C","IPN3","Italian","L2"
"194",73,"expletive_test","11","1","test","pos","adj","TO","C","IAP1","Italian","L2"
"195",73,"expletive_test","64","16","filler","pos","adj","TO","C","INF16","Italian","L2"
"196",73,"expletive_test","61","19","filler","pos","adj","AO","C","INF19","Italian","L2"
"197",73,"expletive_test","0","8","test","neg","pej","AO","C","IPN8","Italian","L2"
"198",73,"expletive_test","15","23","filler","pos","adj","AO","C","INF23","Italian","L2"
"199",73,"expletive_test","87","4","test","pos","pej","TO","C","IPP4","Italian","L2"
"200",73,"expletive_test","79","6","test","pos","pej","NEU","C","IPP6","Italian","L2"
"201",73,"expletive_test","19","7","test","neg","adj","TO","C","IAN7","Italian","L2"
"202",73,"expletive_test","88","4","test","pos","adj","TO","C","IAP4","Italian","L2"
"203",73,"expletive_test","83","15","filler","pos","adj","TO","C","INF15","Italian","L2"
"204",73,"expletive_test","77","18","filler","pos","adj","TO","C","INF18","Italian","L2"
"205",73,"expletive_test","22","10","filler","neg","adj","AO","C","INF10","Italian","L2"
"206",73,"expletive_test","39","3","test","pos","adj","NEU","C","IAP3","Italian","L2"
"207",73,"expletive_test","79","8","test","pos","pej","AO","C","IPP8","Italian","L2"
"208",73,"expletive_test","83","9","test","pos","pej","NEU","C","IPP9","Italian","L2"
"209",73,"expletive_test","12","7","filler","neg","adj","AO","C","INF7","Italian","L2"
"210",73,"expletive_test","34","2","test","pos","pej","AO","C","IPP2","Italian","L2"
"211",73,"expletive_test","84","1","test","neg","adj","TO","C","IAN1","Italian","L2"
"212",73,"expletive_test","29","1","filler","neg","adj","TO","C","ITN1","Italian","L2"
"213",73,"expletive_test","67","7","test","pos","pej","TO","C","IPP7","Italian","L2"
"214",73,"expletive_test","96","12","filler","neg","adj","AO","C","INF12","Italian","L2"
"215",73,"expletive_test","10","4","test","neg","adj","TO","C","IAN4","Italian","L2"
