"Participant","LQ_dominance_1","LQ_dominance_2","LQ_dominance_3","LQ_dominance_4","LQ_dominance_5","LQ_acquisition_1","LQ_acquisition_2","LQ_acquisition_3","LQ_acquisition_4","LQ_acquisition_5","LQ_exp_lang_1","LQ_exp_lang_2","LQ_exp_lang_3","LQ_exp_lang_4","LQ_exp_lang_5","LQ_pcibex_log_exp_pct_1","LQ_pcibex_log_exp_pct_2","LQ_pcibex_log_exp_pct_3","LQ_pcibex_log_exp_pct_4","LQ_pcibex_log_exp_pct_5","LQ_read_lang_1","LQ_read_lang_2","LQ_read_lang_3","LQ_read_lang_4","LQ_read_lang_5","LQ_pcibex_log_read_pct_1","LQ_pcibex_log_read_pct_2","LQ_pcibex_log_read_pct_3","LQ_pcibex_log_read_pct_4","LQ_pcibex_log_read_pct_5","LQ_speak_lang_1","LQ_speak_lang_2","LQ_speak_lang_3","LQ_speak_lang_4","LQ_speak_lang_5","LQ_pcibex_log_speak_pct_1","LQ_pcibex_log_speak_pct_2","LQ_pcibex_log_speak_pct_3","LQ_pcibex_log_speak_pct_4","LQ_pcibex_log_speak_pct_5","LQ_culture_1","LQ_pcibex_log_culture_rating_1","LQ_culture_2","LQ_pcibex_log_culture_rating_2","LQ_culture_3","LQ_pcibex_log_culture_rating_3","LQ_culture_4","LQ_pcibex_log_culture_rating_4","LQ_culture_5","LQ_pcibex_log_culture_rating_5","LQ_pcibex_log_formal_education_years","LQ_edu_other_text","LQ_current_residence_country","LQ_immigration_country_1","LQ_pcibex_log_immigration_time_1","LQ_immigration_country_2","LQ_pcibex_log_immigration_time_2","LQ_immigration_country_3","LQ_pcibex_log_immigration_time_3","LQ_pcibex_log_eng_age_began_acquiring","LQ_pcibex_log_eng_age_became_fluent","LQ_pcibex_log_eng_age_began_reading","LQ_pcibex_log_eng_age_became_fluent_reading","LQ_pcibex_log_eng_country_years","LQ_pcibex_log_eng_country_months","LQ_pcibex_log_eng_family_years","LQ_pcibex_log_eng_family_months","LQ_pcibex_log_eng_schoolwork_years","LQ_pcibex_log_eng_schoolwork_months","LQ_pcibex_log_eng_proficiency_speaking","LQ_pcibex_log_eng_proficiency_understanding","LQ_pcibex_log_eng_proficiency_reading","LQ_pcibex_log_eng_learning_friends","LQ_pcibex_log_eng_learning_self","LQ_pcibex_log_eng_learning_family","LQ_pcibex_log_eng_learning_tv","LQ_pcibex_log_eng_learning_reading","LQ_pcibex_log_eng_learning_radio","LQ_pcibex_log_eng_exposure_friends","LQ_pcibex_log_eng_exposure_radio_music","LQ_pcibex_log_eng_exposure_family","LQ_pcibex_log_eng_exposure_reading","LQ_pcibex_log_eng_exposure_tv","LQ_pcibex_log_eng_exposure_lab_self","LQ_pcibex_log_eng_foreign_accent","LQ_pcibex_log_eng_identified_non_native","LQ_pcibex_log_ita_age_began_acquiring","LQ_pcibex_log_ita_age_became_fluent","LQ_pcibex_log_ita_age_began_reading","LQ_pcibex_log_ita_age_became_fluent_reading","LQ_pcibex_log_ita_country_years","LQ_pcibex_log_ita_country_months","LQ_pcibex_log_ita_family_years","LQ_pcibex_log_ita_family_months","LQ_pcibex_log_ita_schoolwork_years","LQ_pcibex_log_ita_schoolwork_months","LQ_pcibex_log_ita_proficiency_speaking","LQ_pcibex_log_ita_proficiency_understanding","LQ_pcibex_log_ita_proficiency_reading","LQ_pcibex_log_ita_learning_friends","LQ_pcibex_log_ita_learning_self","LQ_pcibex_log_ita_learning_family","LQ_pcibex_log_ita_learning_tv","LQ_pcibex_log_ita_learning_reading","LQ_pcibex_log_ita_learning_radio","LQ_pcibex_log_ita_exposure_friends","LQ_pcibex_log_ita_exposure_radio_music","LQ_pcibex_log_ita_exposure_family","LQ_pcibex_log_ita_exposure_reading","LQ_pcibex_log_ita_exposure_tv","LQ_pcibex_log_ita_exposure_lab_self","LQ_pcibex_log_ita_foreign_accent","LQ_pcibex_log_ita_identified_non_native","LQ_disability_explanation","LQ_disability_options_vision","LQ_disability_options_hearing","LQ_disability_options_lang","LQ_disability_options_learn","LQ_disability_options","LQ_education_level"
26,"english","french","italian","","","english","french","italian","","","english","french","italian","","","85","10","5","","","english","french","italian","","","94","5","1","","","english","french","italian","","","90","9","1","","","canadian","10","","","","","","","","","15","","canada","","","","","","","0","5","4","7","20","10","20","10","15","0","10","10","10","10","5","6","5","8","4","10","10","10","10","10","10","1","0","19","20","19","20","0","0","0","0","0","0","4","6","5","0","10","0","0","5","0","0","0","0","2","0","10","0","0","","unchecked","unchecked","unchecked","unchecked","checked","Some College"
130,"English","Italian","French","","","Italian","English","French","","","English","Italian","French","-","-","33","34","33","0","0","English","Italian","French","0","0","50","30","20","0","0","English","Italian","French","","","40","50","10","","","Italian","8","French","8","British","7","Christian","7","","","10","","England","France","5","Italy","5","","","4","4","4","4","25","0","30","0","25","0","10","10","10","5","0","10","8","8","0","9","6","10","8","2","0","0","0","2","3","4","4","5","0","30","0","5","0","10","10","10","8","0","10","7","9","4","4","3","10","9","6","0","1","1","","unchecked","unchecked","unchecked","unchecked","checked","College"
85,"Eglish","Yoruba","Italian","","","English","Yoruba","Italian","","","English","Yoruba","Italian","","","80","15","5","","","English","Yoruba","Italian","","","100","0","0","","","English","Yoruba","Italian","","","70","25","5","","","Nigerian","10","Canadian","6","","","","","","","18","","Canada","","","","","","","0","5","4","7","32","5","32","5","26","5","10","10","10","10","10","10","10","10","10","8","10","7","10","10","10","5","7","26","32","29","32","0","0","0","0","0","0","7","6","9","0","10","0","6","4","0","0","0","0","4","10","10","10","10","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
57,"English","French","German","Italian","","English","French","German","italian","","English","French","German","Italian","","90","8","1","1","","English","French","German","Italian","","100","0","0","0","","English","French","german","italian","","90","5","3","2","","Canadian","10","","","","","","","","","18","","Canada","","","","","","","1","1","1","1","28","4","28","4","18","0","10","10","10","10","10","10","10","10","5","10","10","10","10","10","5","0","0","20","23","20","23","0","0","0","0","4","0","5","4","5","0","10","0","5","10","0","0","3","0","10","8","10","7","10","","unchecked","unchecked","unchecked","unchecked","checked","Some Graduate School"
167,"English","French","Italian","Newfinese","","English","French","Italian","Newfinese","","20","20","0","60","0","20","20","0","60","0","1","1","1","97","0","1","1","1","97","0","1","1","1","97","0","1","1","1","97","0","Newfoundlander","10","","","","","","","","","2","Trades/ Machine operator","Canada","","","","","","","2","2","7","4","31","10","31","10","31","10","9","10","10","7","7","10","3","10","2","0","7","2","10","2","10","7","9","13","0","13","0","0","0","0","0","0","0","2","1","2","0","5","0","5","9","0","0","0","0","9","0","9","0","0","","checked","checked","checked","checked","checked","College"
135,"English","Spanish","Italian","French","","English","Spanish","French","Italian","","English","French","Spanish","Italian","","80","10","5","5","","English","Spanish","French","Italian","","60","25","5","10","","English","Spanish","French","Italian","","75","25","0","0","","UK - British","10","","","","","","","","","20","","Canada","Canada","8","Spain","5","","","0","5","5","5","25","0","33","0","25","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","20","27","20","25","0","0","0","0","0","0","7","7","9","6","8","0","8","8","5","6","8","0","7","8","10","8","10","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
108,"English","Welsh","Italian","Spanish","French","English","Welsh","Spanish ","French","Italian","English ","Welsh","Italian","Spanish","French ","70","10","10","5","5","English","Welsh","French","Spanish","Italian","80","10","2","3","5","English","French","Welsh","Italian","Spanish","20","20","20","20","20","Welsh","10","British","8","Christian ","3","","","","","10","","Welsh","","","","","","","1","4","3","6","21","8","21","8","18","8","10","10","10","10","6","10","8","4","5","10","8","10","4","5","8","4","2","4","14","12","18","2","8","0","0","10","0","6","9","4","4","10","0","2","6","0","4","0","0","5","4","10","4","2","","unchecked","unchecked","unchecked","unchecked","checked","High School"
46,"English","French","Irish","Italian","German","English","Irish","French","Italian","German","English","Irish","French","Italian","German","60","10","20","10","0","English","Irish","French","Italian","German","90","0","10","0","0","English","Irish","French","Italian","German","50","40","5","5","0","Irish","10","Roman Catholic","4","","","","","","","18","","Ireland","France","2","Germany","1","","","0","1","3","6","27","0","20","0","17","0","10","10","10","10","0","10","7","10","4","10","7","10","8","9","0","0","0","18","20","18","19","0","0","0","0","0","0","5","6","8","5","9","0","2","5","0","5","2","0","5","2","4","5","10","","unchecked","unchecked","unchecked","unchecked","checked","College"
126,"English","French","Spanish","Italian","","English","French","Spanish","Italian","","English","French","Spanish","Italian","","82","15","2","1","","English","French","Spanish","Italian","","100","0","0","0","","English","French","Spanish","Italian","","99","1","0","0","","Canadian","10","British","4","Scottish","7","Acadian","3","","","17","","Canada","","","","","","","0","1","3","4","26","11","26","11","21","11","10","10","10","10","1","10","10","10","10","10","10","10","10","10","2","0","0","23","25","23","24","0","1","0","0","0","0","5","6","7","0","10","0","2","4","5","0","2","0","0","0","1","5","6","","unchecked","unchecked","unchecked","unchecked","checked","College"
190,"english","urdu","italian","","","English","urdu","italian","","","english","urdu","italian","hindi","french","50","40","10","0","0","english","urdu","italian","","","70","20","10","","","english","urdu","italian","","","50","10","40","","","england-british","7","pakistan-urdu","1","italy-italian","2","","","","","15","","England","italy","1","","","","","4","7","8","10","20","0","3","0","25","0","9","10","10","9","3","10","6","10","4","10","2","10","8","9","1","4","2","18","20","18","24","1","0","1","0","0","6","7","6","7","7","5","2","2","9","3","3","2","1","5","2","7","4","8","","unchecked","unchecked","unchecked","unchecked","checked","College"
