"","Participant","Word","likert_arousal","likert_valence","Language"
"1",213,"sleale","6","2","Italian"
"2",213,"elegante","5","5","Italian"
"3",213,"meschina","7","1","Italian"
"4",213,"crudele","8","1","Italian"
"5",213,"santo","3","6","Italian"
"6",213,"leale","1","9","Italian"
"7",213,"positivo","2","7","Italian"
"8",213,"pigra","7","4","Italian"
"9",213,"negativo","6","2","Italian"
"10",213,"stronzo","8","3","Italian"
"11",213,"cauta","2","6","Italian"
"12",213,"inaffidabile","9","1","Italian"
"13",213,"indiscreta","6","3","Italian"
"14",213,"saggia","2","8","Italian"
"15",213,"bugiarda","8","1","Italian"
"16",213,"scortese","9","1","Italian"
"17",213,"scrupolosa","3","7","Italian"
"18",213,"tesoro","1","9","Italian"
"19",213,"cattivo","9","1","Italian"
"20",213,"osceno","7","1","Italian"
"21",213,"paziente","1","9","Italian"
"22",213,"riservata","2","8","Italian"
"23",213,"gentile","1","9","Italian"
"24",213,"affidabile","1","9","Italian"
"25",213,"demone","7","1","Italian"
"26",213,"buono","1","9","Italian"
"27",168,"cauta","2","4","Italian"
"28",168,"negativo","6","2","Italian"
"29",168,"cattivo","6","3","Italian"
"30",168,"saggia","5","5","Italian"
"31",168,"elegante","5","5","Italian"
"32",168,"osceno","6","3","Italian"
"33",168,"meschina","6","3","Italian"
"34",168,"positivo","5","6","Italian"
"35",168,"demone","6","3","Italian"
"36",168,"sleale","7","3","Italian"
"37",168,"paziente","3","5","Italian"
"38",168,"leale","4","7","Italian"
"39",168,"riservata","5","5","Italian"
"40",168,"scrupolosa","5","5","Italian"
"41",168,"bugiarda","7","3","Italian"
"42",168,"indiscreta","5","5","Italian"
"43",168,"pigra","3","5","Italian"
"44",168,"scortese","7","3","Italian"
"45",168,"santo","4","5","Italian"
"46",168,"gentile","5","6","Italian"
"47",168,"stronzo","8","2","Italian"
"48",168,"crudele","6","2","Italian"
"49",168,"buono","3","6","Italian"
"50",168,"affidabile","4","6","Italian"
"51",168,"inaffidabile","6","3","Italian"
"52",168,"tesoro","7","6","Italian"
"53",190,"indiscreta","6","2","Italian"
"54",190,"buono","2","9","Italian"
"55",190,"sleale","4","1","Italian"
"56",190,"scrupolosa","3","3","Italian"
"57",190,"paziente","1","3","Italian"
"58",190,"leale","8","7","Italian"
"59",190,"cauta","1","6","Italian"
"60",190,"stronzo","6","1","Italian"
"61",190,"cattivo","7","1","Italian"
"62",190,"riservata","2","5","Italian"
"63",190,"inaffidabile","6","3","Italian"
"64",190,"pigra","1","4","Italian"
"65",190,"tesoro","1","8","Italian"
"66",190,"saggia","2","7","Italian"
"67",190,"crudele","7","1","Italian"
"68",190,"meschina","6","1","Italian"
"69",190,"gentile","1","9","Italian"
"70",190,"elegante","6","6","Italian"
"71",190,"osceno","6","1","Italian"
"72",190,"negativo","6","1","Italian"
"73",190,"bugiarda","8","1","Italian"
"74",190,"positivo","8","7","Italian"
"75",190,"scortese","5","1","Italian"
"76",190,"affidabile","3","6","Italian"
"77",190,"santo","1","8","Italian"
"78",190,"demone","7","2","Italian"
"79",74,"indiscreta","4","4","Italian"
"80",74,"elegante","9","9","Italian"
"81",74,"stronzo","5","3","Italian"
"82",74,"affidabile","9","9","Italian"
"83",74,"cauta","1","9","Italian"
"84",74,"pigra","5","5","Italian"
"85",74,"riservata","1","8","Italian"
"86",74,"bugiarda","9","1","Italian"
"87",74,"paziente","1","5","Italian"
"88",74,"scortese","9","1","Italian"
"89",74,"demone","5","5","Italian"
"90",74,"scrupolosa","2","8","Italian"
"91",74,"meschina","9","1","Italian"
"92",74,"gentile","1","9","Italian"
"93",74,"buono","1","9","Italian"
"94",74,"saggia","1","9","Italian"
"95",74,"inaffidabile","9","1","Italian"
"96",74,"crudele","7","1","Italian"
"97",74,"cattivo","6","1","Italian"
"98",74,"tesoro","1","9","Italian"
"99",74,"positivo","1","9","Italian"
"100",74,"leale","1","9","Italian"
"101",74,"negativo","6","3","Italian"
"102",74,"sleale","6","1","Italian"
"103",74,"osceno","6","1","Italian"
"104",74,"santo","1","9","Italian"
"105",22,"santo","1","5","Italian"
"106",22,"osceno","4","2","Italian"
"107",22,"cauta","1","8","Italian"
"108",22,"demone","6","2","Italian"
"109",22,"crudele","8","1","Italian"
"110",22,"stronzo","6","2","Italian"
"111",22,"tesoro","4","9","Italian"
"112",22,"pigra","1","5","Italian"
"113",22,"cattivo","3","1","Italian"
"114",22,"scrupolosa","1","7","Italian"
"115",22,"paziente","1","9","Italian"
"116",22,"indiscreta","2","3","Italian"
"117",22,"affidabile","2","9","Italian"
"118",22,"elegante","4","9","Italian"
"119",22,"leale","2","9","Italian"
"120",22,"sleale","7","2","Italian"
"121",22,"inaffidabile","7","2","Italian"
"122",22,"gentile","2","9","Italian"
"123",22,"meschina","8","1","Italian"
"124",22,"buono","2","9","Italian"
"125",22,"riservata","3","7","Italian"
"126",22,"saggia","1","9","Italian"
"127",22,"scortese","5","1","Italian"
"128",22,"positivo","8","9","Italian"
"129",22,"bugiarda","8","1","Italian"
"130",22,"negativo","3","1","Italian"
"131",272,"inaffidabile","7","3","Italian"
"132",272,"scortese","8","2","Italian"
"133",272,"positivo","1","9","Italian"
"134",272,"tesoro","9","9","Italian"
"135",272,"leale","5","9","Italian"
"136",272,"elegante","3","8","Italian"
"137",272,"bugiarda","8","2","Italian"
"138",272,"indiscreta","8","4","Italian"
"139",272,"demone","9","1","Italian"
"140",272,"cauta","1","6","Italian"
"141",272,"crudele","9","1","Italian"
"142",272,"stronzo","9","1","Italian"
"143",272,"meschina","5","2","Italian"
"144",272,"pigra","5","5","Italian"
"145",272,"cattivo","7","1","Italian"
"146",272,"riservata","5","5","Italian"
"147",272,"santo","1","9","Italian"
"148",272,"affidabile","2","8","Italian"
"149",272,"paziente","1","9","Italian"
"150",272,"sleale","7","2","Italian"
"151",272,"negativo","5","1","Italian"
"152",272,"gentile","1","9","Italian"
"153",272,"osceno","4","3","Italian"
"154",272,"scrupolosa","3","7","Italian"
"155",272,"saggia","4","6","Italian"
"156",272,"buono","2","8","Italian"
"157",49,"paziente","2","7","Italian"
"158",49,"santo","5","4","Italian"
"159",49,"demone","8","3","Italian"
"160",49,"scortese","7","4","Italian"
"161",49,"buono","6","9","Italian"
"162",49,"meschina","5","5","Italian"
"163",49,"osceno","7","5","Italian"
"164",49,"affidabile","2","9","Italian"
"165",49,"stronzo","9","4","Italian"
"166",49,"positivo","4","9","Italian"
"167",49,"elegante","5","7","Italian"
"168",49,"gentile","1","9","Italian"
"169",49,"leale","6","9","Italian"
"170",49,"cauta","7","7","Italian"
"171",49,"tesoro","6","8","Italian"
"172",49,"bugiarda","9","1","Italian"
"173",49,"crudele","8","2","Italian"
"174",49,"sleale","9","1","Italian"
