"","X","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"1",1,26,"expletive_test",26,8,"test","neg","pej","AO","A","IPN8","Italian","L1"
"2",2,26,"expletive_test",25,6,"filler","neg","adj","TO","A","INF6","Italian","L1"
"3",3,26,"expletive_test",69,16,"filler","pos","adj","TO","A","INF16","Italian","L1"
"4",4,26,"expletive_test",34,17,"filler","pos","adj","TO","A","INF17","Italian","L1"
"5",5,26,"expletive_test",68,7,"test","pos","pej","TO","A","IPP7","Italian","L1"
"6",6,26,"expletive_test",30,6,"test","pos","adj","NEU","A","IAP6","Italian","L1"
"7",7,26,"expletive_test",56,9,"filler","neg","adj","AO","A","INF9","Italian","L1"
"8",8,26,"expletive_test",58,13,"filler","pos","adj","TO","A","INF13","Italian","L1"
"9",9,26,"expletive_test",49,18,"filler","pos","adj","TO","A","INF18","Italian","L1"
"10",10,26,"expletive_test",74,4,"filler","neg","adj","TO","A","INF4","Italian","L1"
"11",11,26,"expletive_test",48,12,"filler","neg","adj","AO","A","INF12","Italian","L1"
"12",12,26,"expletive_test",65,1,"test","pos","pej","TO","A","IPP1","Italian","L1"
"13",13,26,"expletive_test",56,1,"test","neg","adj","TO","A","IAN1","Italian","L1"
"14",14,26,"expletive_test",45,21,"filler","pos","adj","AO","A","INF21","Italian","L1"
"15",15,26,"expletive_test",43,5,"test","pos","adj","AO","A","IAP5","Italian","L1"
"16",16,26,"expletive_test",58,2,"test","pos","pej","AO","A","IPP2","Italian","L1"
"17",17,26,"expletive_test",56,10,"filler","neg","adj","AO","A","INF10","Italian","L1"
"18",18,26,"expletive_test",51,8,"test","neg","adj","AO","A","IAN8","Italian","L1"
"19",19,26,"expletive_test",71,4,"test","pos","pej","TO","A","IPP4","Italian","L1"
"20",20,26,"expletive_test",28,24,"filler","pos","adj","AO","A","INF24","Italian","L1"
"21",21,26,"expletive_test",78,7,"test","neg","pej","TO","A","IPN7","Italian","L1"
"22",22,26,"expletive_test",61,15,"filler","pos","adj","TO","A","INF15","Italian","L1"
"23",23,26,"expletive_test",36,9,"test","neg","adj","NEU","A","IAN9","Italian","L1"
