LexicalType,Valence,Lang,Word,Group
pej,neg,eng,asshole,A
pej,pos,eng,sweetheart,A
adj,neg,eng,liar,A
adj,neg,eng,obsecene,A
adj,neg,eng,rude,A
adj,neg,eng,unrealiable,A
adj,neg,eng,lazy,A
adj,neg,eng,mean,A
adj,neg,eng,indiscreet,A
adj,neg,eng,cruel,A
adj,neg,eng,disloyal,A
adj,pos,eng,kind,A
adj,pos,eng,graceful,A
adj,pos,eng,wise,A
adj,pos,eng,careful,A
adj,pos,eng,reliable,A
adj,pos,eng,loyal,A
adj,pos,eng,patient,A
adj,pos,eng,cautious,A
adj,pos,eng,discreet,A
adj,neg,eng,bad,A
adj,pos,eng,good,A
adj,neg,eng,negative,A
adj,pos,eng,positive,A
adj,neg,eng,demon,A
adj,pos,eng,saint,A
pej,neg,eng,asshole,B
pej,pos,eng,sweetheart,B
adj,neg,eng,liar,B
adj,neg,eng,obsecene,B
adj,neg,eng,rude,B
adj,neg,eng,unrealiable,B
adj,neg,eng,lazy,B
adj,neg,eng,mean,B
adj,neg,eng,indiscreet,B
adj,neg,eng,cruel,B
adj,neg,eng,disloyal,B
adj,pos,eng,kind,B
adj,pos,eng,graceful,B
adj,pos,eng,wise,B
adj,pos,eng,careful,B
adj,pos,eng,reliable,B
adj,pos,eng,loyal,B
adj,pos,eng,patient,B
adj,pos,eng,cautious,B
adj,pos,eng,discreet,B
adj,neg,eng,bad,B
adj,pos,eng,good,B
adj,neg,eng,negative,B
adj,pos,eng,positive,B
adj,neg,eng,demon,B
adj,pos,eng,saint,B
pej,neg,eng,asshole,C
pej,pos,eng,sweetheart,C
adj,neg,eng,liar,C
adj,neg,eng,obsecene,C
adj,neg,eng,rude,C
adj,neg,eng,unrealiable,C
adj,neg,eng,lazy,C
adj,neg,eng,mean,C
adj,neg,eng,indiscreet,C
adj,neg,eng,cruel,C
adj,neg,eng,disloyal,C
adj,pos,eng,kind,C
adj,pos,eng,graceful,C
adj,pos,eng,wise,C
adj,pos,eng,careful,C
adj,pos,eng,reliable,C
adj,pos,eng,loyal,C
adj,pos,eng,patient,C
adj,pos,eng,cautious,C
adj,pos,eng,discreet,C
adj,neg,eng,bad,C
adj,pos,eng,good,C
adj,neg,eng,negative,C
adj,pos,eng,positive,C
adj,neg,eng,demon,C
adj,pos,eng,saint,C
